id_class,x_0,y_0,x_0,vx_0,vy_0,vz_0,jacobi,period,stability,propagated_periods
1.0,0.9929169307135736,-8.226346194924604e-28,0.17829076501648283,-1.576063106479554e-14,-0.26339036749250977,-5.3970588569060216e-14,2.988275272474,6.663069365506357,34.2378127037988,5.0
1.0,0.9457408313857225,-4.973361163181287e-28,0.15651269898090556,-4.673815258931786e-15,-0.19905236617209976,2.8304124291707364e-14,3.04029565057205,5.3930793316757795,35.0081225916803,5.0
1.0,0.9629906298110174,3.9644078161988105e-27,0.16730831370375643,-1.7621365444967896e-13,-0.0514805763003662,-2.948815826458246e-12,3.06525724768049,2.8441257452091278,2.99266080229522,5.0
1.0,0.9336427356725318,-6.267811679441335e-28,0.1516799311533296,-7.362666476728151e-15,-0.17375437933745602,-4.6835321539937786e-14,3.05494385098024,5.0633572622190774,30.8009363767177,5.0
1.0,0.9045278283016128,1.7464276719734504e-26,0.1433810087427891,-5.988705251830813e-16,-0.05725101055631933,-1.3671327501524064e-15,3.09082248134573,3.8189414516142293,3.58577008114646,5.0
1.0,1.0072176629347842,1.2747314060289883e-27,0.17361721732277263,4.0673772958619046e-13,-0.07832798223999628,9.138906991856784e-12,3.05810486310234,2.7496522830204455,1.0182553326636,5.0
1.0,0.9060622824093295,8.936095928806977e-27,0.14307597171486655,1.8674630795521615e-14,-0.07526127657422121,3.049285176147206e-15,3.08876433784869,4.021169677352382,8.24878727206843,5.0
1.0,0.905981343567756,8.932560184901447e-27,0.14307088152239866,3.9766583765218536e-14,-0.07463450578907926,-1.706089189477711e-14,3.08886440183743,4.01445903319955,7.87412514212385,5.0
1.0,0.9044843133790897,-3.013129910167069e-26,0.14371318409932546,-2.2369401490548456e-15,-0.05186322524171588,-7.287705567403683e-15,3.09103972082313,3.752878643951984,1.96173641794932,5.0
1.0,0.9098733233578103,2.7976892775381147e-27,0.14376611762762076,3.2633604580138322e-15,-0.09753134137053715,-1.620214722998892e-16,3.0841438528807,4.251650261716645,13.3296622272103,5.0
2.0,0.9929169307135736,-8.226346194924604e-28,-0.17829076501648283,-1.576063106479554e-14,-0.26339036749250977,5.3970588569060216e-14,2.988275272474,6.663069365506357,34.2378127037988,5.0
2.0,0.9457408313857225,-4.973361163181287e-28,-0.15651269898090556,-4.673815258931786e-15,-0.19905236617209976,-2.8304124291707364e-14,3.04029565057205,5.3930793316757795,35.0081225916803,5.0
2.0,0.9629906298110174,3.9644078161988105e-27,-0.16730831370375643,-1.7621365444967896e-13,-0.0514805763003662,2.948815826458246e-12,3.06525724768049,2.8441257452091278,2.99266080229522,5.0
2.0,0.9336427356725318,-6.267811679441335e-28,-0.1516799311533296,-7.362666476728151e-15,-0.17375437933745602,4.6835321539937786e-14,3.05494385098024,5.0633572622190774,30.8009363767177,5.0
2.0,0.9045278283016128,1.7464276719734504e-26,-0.1433810087427891,-5.988705251830813e-16,-0.05725101055631933,1.3671327501524064e-15,3.09082248134573,3.8189414516142293,3.58577008114646,5.0
2.0,1.0072176629347842,1.2747314060289883e-27,-0.17361721732277263,4.0673772958619046e-13,-0.07832798223999628,-9.138906991856784e-12,3.05810486310234,2.7496522830204455,1.0182553326636,5.0
2.0,0.9060622824093295,8.936095928806977e-27,-0.14307597171486655,1.8674630795521615e-14,-0.07526127657422121,-3.049285176147206e-15,3.08876433784869,4.021169677352382,8.24878727206843,5.0
2.0,0.905981343567756,8.932560184901447e-27,-0.14307088152239866,3.9766583765218536e-14,-0.07463450578907926,1.706089189477711e-14,3.08886440183743,4.01445903319955,7.87412514212385,5.0
2.0,0.9044843133790897,-3.013129910167069e-26,-0.14371318409932546,-2.2369401490548456e-15,-0.05186322524171588,7.287705567403683e-15,3.09103972082313,3.752878643951984,1.96173641794932,5.0
2.0,0.9098733233578103,2.7976892775381147e-27,-0.14376611762762076,3.2633604580138322e-15,-0.09753134137053715,1.620214722998892e-16,3.0841438528807,4.251650261716645,13.3296622272103,5.0
3.0,1.1335542208315903,-2.5570432534088373e-20,0.13128769965435086,0.0022099635964680266,-0.30378186073416186,0.21086082063586173,2.98532701947635,6.2255280676964215,209.562141438543,4.0
3.0,1.116284016487469,-2.5573669257139717e-20,0.175627749151788,-0.009229168244721319,-0.2451040175229344,0.11565799865478806,3.01424476315598,5.6588331866133155,224.390326259638,4.0
3.0,1.1088471810453249,-2.5575093696737212e-20,0.1946571671213248,-0.0017778508611550833,-0.22123137202813642,0.014982005089731104,3.02285929340567,5.5125396687160935,237.257972291463,4.0
3.0,1.1410783410538616,-2.557052134658451e-20,0.11058514557201733,0.008982727490576327,-0.3301863979862144,0.2503737545774768,2.96423580488463,6.6558709555445725,225.016645463703,4.0
3.0,1.1183445286496438,-2.5573125646695408e-20,0.17033192303314326,-0.008955060137099234,-0.25192239646657677,0.13046011416428918,3.01151749026624,5.707681383433692,221.120409895392,4.0
3.0,1.1264255540266257,-2.5570096991942618e-20,0.1495783344489001,-0.004386926682446174,-0.27927302568378704,0.17696324588946816,2.99913848063828,5.943251228203414,211.200114972629,4.0
3.0,1.1379889302444643,-2.5570505559264132e-20,0.11955601783170543,0.006462802184689128,-0.3191377363883963,0.23234331738636488,2.97434664806391,6.45344267020573,214.996198367089,4.0
3.0,1.1443103264203063,-2.557051879377188e-20,0.09713526881825674,0.010048599356311536,-0.34419227488619825,0.28428484375001445,2.94442132500198,7.006085917809304,259.14027781511,4.0
3.0,1.1115789327788208,-2.55731256392354e-20,0.18768894429522245,-0.007442048918366775,-0.22985717547477189,0.0710812128804565,3.01990579837977,5.561305030492042,232.414516367049,4.0
3.0,1.144478400214762,-2.5570518751635108e-20,0.09569204175406575,0.009887198620822315,-0.3454078127877184,0.2887048994776068,2.94180974900683,7.046742959964943,265.173203191106,4.0
4.0,1.0025376354752435,1.326134824380266e-26,7.327324649705724e-37,1.1105200843861384e-13,1.2745217358589525,-8.22940085123667e-34,2.98224205907734,7.074355172003094,1505.53544442607,2.0
4.0,1.0248477379061482,2.45230032902023e-28,5.856761013017887e-34,-1.0103434670251165e-14,0.7561712241857454,1.0263505663258327e-33,3.04054541711258,4.679402470478342,694.686878673555,3.0
4.0,1.0386146958557259,-5.33977951678046e-27,2.4633850633663866e-33,-1.609472866093063e-15,0.49496015730117304,-1.647075060254945e-32,3.19267913324345,1.1961909417829288,1.00000000010409,5.0
